Date,Sales
01/01/2013,1
01/02/2013,5531
01/03/2013,4328
01/04/2013,4487
01/05/2013,4998
01/06/2013,1
01/07/2013,7177
01/08/2013,5581
01/09/2013,5472
01/10/2013,4893
01/11/2013,4882
01/12/2013,4953
01/13/2013,1
01/14/2013,4718
01/15/2013,3901
01/16/2013,4009
01/17/2013,4045
01/18/2013,4128
01/19/2013,5183
01/20/2013,1
01/21/2013,5395
01/22/2013,5721
01/23/2013,5579
01/24/2013,5196
01/25/2013,5587
01/26/2013,5599
01/27/2013,1
01/28/2013,4056
01/29/2013,3726
01/30/2013,4602
01/31/2013,4710
02/01/2013,5634
02/02/2013,5971
02/03/2013,1
02/04/2013,7033
02/05/2013,6050
02/06/2013,6141
02/07/2013,5500
02/08/2013,5682
02/09/2013,5371
02/10/2013,1
02/11/2013,4410
02/12/2013,4016
02/13/2013,4253
02/14/2013,4242
02/15/2013,4810
02/16/2013,6155
02/17/2013,1
02/18/2013,6408
02/19/2013,5387
02/20/2013,5661
02/21/2013,5262
02/22/2013,5001
02/23/2013,5238
02/24/2013,1
02/25/2013,4039
02/26/2013,3795
02/27/2013,4559
02/28/2013,4677
03/01/2013,4612
03/02/2013,5351
03/03/2013,1
03/04/2013,7676
03/05/2013,6301
03/06/2013,5974
03/07/2013,5638
03/08/2013,5854
03/09/2013,5579
03/10/2013,1
03/11/2013,4950
03/12/2013,3854
03/13/2013,4342
03/14/2013,5109
03/15/2013,4926
03/16/2013,5004
03/17/2013,1
03/18/2013,7073
03/19/2013,6564
03/20/2013,5599
03/21/2013,5180
03/22/2013,5507
03/23/2013,5604
03/24/2013,1
03/25/2013,6730
03/26/2013,6687
03/27/2013,6661
03/28/2013,7286
03/29/2013,1
03/30/2013,7133
03/31/2013,1
04/01/2013,1
04/02/2013,5485
04/03/2013,4626
04/04/2013,4294
04/05/2013,4391
04/06/2013,5076
04/07/2013,1
04/08/2013,6047
04/09/2013,5515
04/10/2013,4904
04/11/2013,4367
04/12/2013,5264
04/13/2013,4774
04/14/2013,1
04/15/2013,3942
04/16/2013,3358
04/17/2013,3650
04/18/2013,2953
04/19/2013,4304
04/20/2013,4351
04/21/2013,1
04/22/2013,5673
04/23/2013,4493
04/24/2013,4310
04/25/2013,3940
04/26/2013,4842
04/27/2013,5727
04/28/2013,1
04/29/2013,5822
04/30/2013,5926
05/01/2013,1
05/02/2013,6487
05/03/2013,6028
05/04/2013,5913
05/05/2013,1
05/06/2013,4569
05/07/2013,4625
05/08/2013,5231
05/09/2013,1
05/10/2013,5410
05/11/2013,5065
05/12/2013,1
05/13/2013,6107
05/14/2013,5084
05/15/2013,4791
05/16/2013,4449
05/17/2013,4857
05/18/2013,4414
05/19/2013,1
05/20/2013,1
05/21/2013,4790
05/22/2013,3560
05/23/2013,4031
05/24/2013,4233
05/25/2013,4409
05/26/2013,1
05/27/2013,5520
05/28/2013,4996
05/29/2013,5785
05/30/2013,1
05/31/2013,7894
06/01/2013,5694
06/02/2013,1
06/03/2013,5423
06/04/2013,5221
06/05/2013,5013
06/06/2013,4882
06/07/2013,4316
06/08/2013,4263
06/09/2013,1
06/10/2013,4292
06/11/2013,3785
06/12/2013,3564
06/13/2013,3662
06/14/2013,4151
06/15/2013,4767
06/16/2013,1
06/17/2013,5338
06/18/2013,4634
06/19/2013,4181
06/20/2013,5012
06/21/2013,5174
06/22/2013,4342
06/23/2013,1
06/24/2013,3550
06/25/2013,4537
06/26/2013,3828
06/27/2013,3594
06/28/2013,4408
06/29/2013,5805
06/30/2013,1
07/01/2013,5615
07/02/2013,5869
07/03/2013,5876
07/04/2013,5702
07/05/2013,4987
07/06/2013,4091
07/07/2013,1
07/08/2013,4476
07/09/2013,4048
07/10/2013,3964
07/11/2013,4054
07/12/2013,4135
07/13/2013,4016
07/14/2013,1
07/15/2013,6378
07/16/2013,5644
07/17/2013,4947
07/18/2013,4905
07/19/2013,4276
07/20/2013,4422
07/21/2013,1
07/22/2013,4150
07/23/2013,3938
07/24/2013,3850
07/25/2013,3503
07/26/2013,4222
07/27/2013,3353
07/28/2013,1
07/29/2013,6291
07/30/2013,5774
07/31/2013,5573
08/01/2013,4995
08/02/2013,4495
08/03/2013,4462
08/04/2013,1
08/05/2013,4087
08/06/2013,3583
08/07/2013,4144
08/08/2013,3681
08/09/2013,3258
08/10/2013,3769
08/11/2013,1
08/12/2013,5327
08/13/2013,5300
08/14/2013,4725
08/15/2013,4576
08/16/2013,4553
08/17/2013,4079
08/18/2013,1
08/19/2013,3955
08/20/2013,3493
08/21/2013,3097
08/22/2013,3704
08/23/2013,3494
08/24/2013,4753
08/25/2013,1
08/26/2013,5483
08/27/2013,5157
08/28/2013,4584
08/29/2013,4805
08/30/2013,5470
08/31/2013,5318
09/01/2013,1
09/02/2013,4196
09/03/2013,3929
09/04/2013,3344
09/05/2013,3884
09/06/2013,3837
09/07/2013,4664
09/08/2013,1
09/09/2013,5894
09/10/2013,5404
09/11/2013,5104
09/12/2013,5080
09/13/2013,5188
09/14/2013,4664
09/15/2013,1
09/16/2013,4250
09/17/2013,3686
09/18/2013,3947
09/19/2013,3718
09/20/2013,3517
09/21/2013,3910
09/22/2013,1
09/23/2013,4771
09/24/2013,4275
09/25/2013,4213
09/26/2013,4482
09/27/2013,4670
09/28/2013,4176
09/29/2013,1
09/30/2013,4089
10/01/2013,4179
10/02/2013,4002
10/03/2013,1
10/04/2013,5448
10/05/2013,5353
10/06/2013,1
10/07/2013,6005
10/08/2013,5453
10/09/2013,4958
10/10/2013,5287
10/11/2013,5897
10/12/2013,4955
10/13/2013,1
10/14/2013,3774
10/15/2013,3356
10/16/2013,3384
10/17/2013,3224
10/18/2013,3567
10/19/2013,3668
10/20/2013,1
10/21/2013,5056
10/22/2013,4069
10/23/2013,4613
10/24/2013,4045
10/25/2013,4574
10/26/2013,4348
10/27/2013,1
10/28/2013,3558
10/29/2013,3738
10/30/2013,4120
10/31/2013,4036
11/01/2013,5472
11/02/2013,5234
11/03/2013,1
11/04/2013,5862
11/05/2013,5349
11/06/2013,5573
11/07/2013,5010
11/08/2013,5243
11/09/2013,4682
11/10/2013,1
11/11/2013,4015
11/12/2013,4018
11/13/2013,3311
11/14/2013,3796
11/15/2013,4017
11/16/2013,5072
11/17/2013,1
11/18/2013,5928
11/19/2013,5144
11/20/2013,4937
11/21/2013,4624
11/22/2013,5059
11/23/2013,5298
11/24/2013,1
11/25/2013,4601
11/26/2013,4202
11/27/2013,4562
11/28/2013,4615
11/29/2013,5624
11/30/2013,6374
12/01/2013,1
12/02/2013,6944
12/03/2013,6294
12/04/2013,5689
12/05/2013,5692
12/06/2013,6113
12/07/2013,5800
12/08/2013,1
12/09/2013,4463
12/10/2013,4229
12/11/2013,4302
12/12/2013,4075
12/13/2013,4704
12/14/2013,6120
12/15/2013,1
12/16/2013,8278
12/17/2013,7357
12/18/2013,7822
12/19/2013,6789
12/20/2013,8415
12/21/2013,8044
12/22/2013,1
12/23/2013,9529
12/24/2013,3205
12/25/2013,1
12/26/2013,1
12/27/2013,6111
12/28/2013,5660
12/29/2013,1
12/30/2013,7194
12/31/2013,2363
01/01/2014,1
01/02/2014,4970
01/03/2014,4191
01/04/2014,5174
01/05/2014,1
01/06/2014,6195
01/07/2014,5540
01/08/2014,4932
01/09/2014,4397
01/10/2014,4487
01/11/2014,4455
01/12/2014,1
01/13/2014,3995
01/14/2014,3622
01/15/2014,3777
01/16/2014,3633
01/17/2014,3804
01/18/2014,5129
01/19/2014,1
01/20/2014,6149
01/21/2014,5152
01/22/2014,4563
01/23/2014,4598
01/24/2014,5099
01/25/2014,4547
01/26/2014,1
01/27/2014,3602
01/28/2014,3582
01/29/2014,3790
01/30/2014,4550
01/31/2014,4907
02/01/2014,5293
02/02/2014,1
02/03/2014,5840
02/04/2014,5541
02/05/2014,5032
02/06/2014,4824
02/07/2014,5597
02/08/2014,4727
02/09/2014,1
02/10/2014,3592
02/11/2014,3462
02/12/2014,3663
02/13/2014,3639
02/14/2014,4648
02/15/2014,5259
02/16/2014,1
02/17/2014,5394
02/18/2014,4603
02/19/2014,4936
02/20/2014,4564
02/21/2014,4728
02/22/2014,4821
02/23/2014,1
02/24/2014,3827
02/25/2014,3500
02/26/2014,4109
02/27/2014,3827
02/28/2014,5032
03/01/2014,5308
03/02/2014,1
03/03/2014,6199
03/04/2014,5398
03/05/2014,4917
03/06/2014,4586
03/07/2014,5341
03/08/2014,4401
03/09/2014,1
03/10/2014,3574
03/11/2014,3589
03/12/2014,3806
03/13/2014,3225
03/14/2014,3884
03/15/2014,5043
03/16/2014,1
03/17/2014,5564
03/18/2014,5201
03/19/2014,4037
03/20/2014,4024
03/21/2014,4511
03/22/2014,5242
03/23/2014,1
03/24/2014,3851
03/25/2014,3137
03/26/2014,3226
03/27/2014,3848
03/28/2014,3988
03/29/2014,4584
03/30/2014,1
03/31/2014,6009
04/01/2014,5408
04/02/2014,4835
04/03/2014,4557
04/04/2014,4739
04/05/2014,4600
04/06/2014,1
04/07/2014,3752
04/08/2014,3991
04/09/2014,3920
04/10/2014,3949
04/11/2014,3734
04/12/2014,4436
04/13/2014,1
04/14/2014,6804
04/15/2014,6197
04/16/2014,6382
04/17/2014,6161
04/18/2014,1
04/19/2014,5872
04/20/2014,1
04/21/2014,1
04/22/2014,4134
04/23/2014,3483
04/24/2014,3377
04/25/2014,3711
04/26/2014,3990
04/27/2014,1
04/28/2014,5489
04/29/2014,5924
04/30/2014,5871
05/01/2014,1
05/02/2014,6791
05/03/2014,5499
05/04/2014,1
05/05/2014,5326
05/06/2014,5056
05/07/2014,5076
05/08/2014,5223
05/09/2014,5238
05/10/2014,5997
05/11/2014,1
05/12/2014,3958
05/13/2014,3536
05/14/2014,3711
05/15/2014,3590
05/16/2014,3864
05/17/2014,3786
05/18/2014,1
05/19/2014,5638
05/20/2014,4910
05/21/2014,4299
05/22/2014,3802
05/23/2014,4969
05/24/2014,4575
05/25/2014,1
05/26/2014,3913
05/27/2014,3972
05/28/2014,4617
05/29/2014,1
05/30/2014,5408
05/31/2014,4986
06/01/2014,1
06/02/2014,6072
06/03/2014,5615
06/04/2014,5230
06/05/2014,5279
06/06/2014,4958
06/07/2014,4924
06/08/2014,1
06/09/2014,1
06/10/2014,4608
06/11/2014,4208
06/12/2014,3703
06/13/2014,3902
06/14/2014,4758
06/15/2014,1
06/16/2014,4789
06/17/2014,5771
06/18/2014,5257
06/19/2014,1
06/20/2014,6363
06/21/2014,3983
06/22/2014,1
06/23/2014,3756
06/24/2014,3352
06/25/2014,3728
06/26/2014,2750
06/27/2014,4020
06/28/2014,5163
06/29/2014,1
06/30/2014,5739
07/01/2014,5139
07/02/2014,5162
07/03/2014,4757
07/04/2014,4026
07/05/2014,5177
07/06/2014,1
07/07/2014,4224
07/08/2014,4082
07/09/2014,3548
07/10/2014,3742
07/11/2014,4021
07/12/2014,4410
07/13/2014,1
07/14/2014,5084
07/15/2014,5299
07/16/2014,5425
07/17/2014,4686
07/18/2014,4610
07/19/2014,4085
07/20/2014,1
07/21/2014,4508
07/22/2014,3934
07/23/2014,3807
07/24/2014,3558
07/25/2014,3859
07/26/2014,4267
07/27/2014,1
07/28/2014,5373
07/29/2014,5253
07/30/2014,5488
07/31/2014,5107
08/01/2014,5039
08/02/2014,4732
08/03/2014,1
08/04/2014,5656
08/05/2014,5434
08/06/2014,5338
08/07/2014,4155
08/08/2014,4452
08/09/2014,4175
08/10/2014,1
08/11/2014,3887
08/12/2014,3186
08/13/2014,4070
08/14/2014,3907
08/15/2014,3747
08/16/2014,4426
08/17/2014,1
08/18/2014,5624
08/19/2014,5191
08/20/2014,4281
08/21/2014,4328
08/22/2014,3972
08/23/2014,3583
08/24/2014,1
08/25/2014,3415
08/26/2014,3397
08/27/2014,3149
08/28/2014,3921
08/29/2014,3870
08/30/2014,4095
08/31/2014,1
09/01/2014,5465
09/02/2014,5009
09/03/2014,4979
09/04/2014,4347
09/05/2014,4707
09/06/2014,3960
09/07/2014,1
09/08/2014,3677
09/09/2014,3378
09/10/2014,3276
09/11/2014,3393
09/12/2014,3907
09/13/2014,4271
09/14/2014,1
09/15/2014,4612
09/16/2014,4382
09/17/2014,4384
09/18/2014,3741
09/19/2014,4129
09/20/2014,3912
09/21/2014,1
09/22/2014,3983
09/23/2014,3408
09/24/2014,3406
09/25/2014,2463
09/26/2014,3519
09/27/2014,3915
09/28/2014,1
09/29/2014,5281
09/30/2014,4920
10/01/2014,4713
10/02/2014,5401
10/03/2014,1
10/04/2014,5356
10/05/2014,1
10/06/2014,5403
10/07/2014,5440
10/08/2014,4945
10/09/2014,4655
10/10/2014,4397
10/11/2014,4744
10/12/2014,1
10/13/2014,4034
10/14/2014,3682
10/15/2014,3776
10/16/2014,3431
10/17/2014,3721
10/18/2014,4170
10/19/2014,1
10/20/2014,4653
10/21/2014,4679
10/22/2014,4869
10/23/2014,4467
10/24/2014,4197
10/25/2014,4597
10/26/2014,1
10/27/2014,4261
10/28/2014,3365
10/29/2014,3762
10/30/2014,4043
10/31/2014,4162
11/01/2014,6533
11/02/2014,1
11/03/2014,5858
11/04/2014,5254
11/05/2014,4839
11/06/2014,4786
11/07/2014,5221
11/08/2014,4721
11/09/2014,1
11/10/2014,5475
11/11/2014,4480
11/12/2014,4678
11/13/2014,3870
11/14/2014,5335
11/15/2014,4968
11/16/2014,1
11/17/2014,3583
11/18/2014,3891
11/19/2014,3895
11/20/2014,4964
11/21/2014,4595
11/22/2014,5850
11/23/2014,1
11/24/2014,6528
11/25/2014,5816
11/26/2014,5329
11/27/2014,6145
11/28/2014,7196
11/29/2014,7067
11/30/2014,1
12/01/2014,7381
12/02/2014,6468
12/03/2014,6455
12/04/2014,7017
12/05/2014,6208
12/06/2014,6186
12/07/2014,1
12/08/2014,4885
12/09/2014,4346
12/10/2014,4916
12/11/2014,5061
12/12/2014,5270
12/13/2014,7264
12/14/2014,1
12/15/2014,8070
12/16/2014,7740
12/17/2014,7524
12/18/2014,7786
12/19/2014,7559
12/20/2014,8368
12/21/2014,1
12/22/2014,9332
12/23/2014,7960
12/24/2014,3660
12/25/2014,1
12/26/2014,1
12/27/2014,6058
12/28/2014,1
12/29/2014,6464
12/30/2014,6467
12/31/2014,2606
01/01/2015,1
01/02/2015,5510
01/03/2015,5024
01/04/2015,1
01/05/2015,6240
01/06/2015,4575
01/07/2015,4797
01/08/2015,3717
01/09/2015,3999
01/10/2015,4600
01/11/2015,1
01/12/2015,5347
01/13/2015,4925
01/14/2015,4542
01/15/2015,4296
01/16/2015,4162
01/17/2015,5256
01/18/2015,1
01/19/2015,3722
01/20/2015,3681
01/21/2015,3300
01/22/2015,3493
01/23/2015,3587
01/24/2015,4841
01/25/2015,1
01/26/2015,4782
01/27/2015,4807
01/28/2015,4311
01/29/2015,5172
01/30/2015,5578
01/31/2015,5364
02/01/2015,1
02/02/2015,6039
02/03/2015,4902
02/04/2015,4673
02/05/2015,4395
02/06/2015,5023
02/07/2015,4664
02/08/2015,1
02/09/2015,3966
02/10/2015,3137
02/11/2015,3736
02/12/2015,3901
02/13/2015,4727
02/14/2015,5016
02/15/2015,1
02/16/2015,4304
02/17/2015,4834
02/18/2015,4181
02/19/2015,4461
02/20/2015,4652
02/21/2015,4476
02/22/2015,1
02/23/2015,3599
02/24/2015,4055
02/25/2015,3876
02/26/2015,4043
02/27/2015,4709
02/28/2015,5290
03/01/2015,1
03/02/2015,5943
03/03/2015,5452
03/04/2015,5569
03/05/2015,4420
03/06/2015,5398
03/07/2015,4593
03/08/2015,1
03/09/2015,3702
03/10/2015,3806
03/11/2015,4171
03/12/2015,3142
03/13/2015,3726
03/14/2015,5226
03/15/2015,1
03/16/2015,5696
03/17/2015,4807
03/18/2015,3859
03/19/2015,4749
03/20/2015,4058
03/21/2015,3910
03/22/2015,1
03/23/2015,3566
03/24/2015,3548
03/25/2015,3532
03/26/2015,3933
03/27/2015,4006
03/28/2015,5209
03/29/2015,1
03/30/2015,6715
03/31/2015,6207
04/01/2015,6817
04/02/2015,6575
04/03/2015,1
04/04/2015,6710
04/05/2015,1
04/06/2015,1
04/07/2015,4164
04/08/2015,4195
04/09/2015,3468
04/10/2015,3550
04/11/2015,4174
04/12/2015,1
04/13/2015,5378
04/14/2015,4649
04/15/2015,4111
04/16/2015,4117
04/17/2015,4719
04/18/2015,4595
04/19/2015,1
04/20/2015,3723
04/21/2015,3038
04/22/2015,3320
04/23/2015,3077
04/24/2015,3199
04/25/2015,4319
04/26/2015,1
04/27/2015,5576
04/28/2015,5200
04/29/2015,5776
04/30/2015,6229
05/01/2015,1
05/02/2015,5851
05/03/2015,1
05/04/2015,5592
05/05/2015,4565
05/06/2015,4961
05/07/2015,4530
05/08/2015,4684
05/09/2015,4946
05/10/2015,1
05/11/2015,3552
05/12/2015,3548
05/13/2015,3999
05/14/2015,1
05/15/2015,4179
05/16/2015,4432
05/17/2015,1
05/18/2015,5281
05/19/2015,5236
05/20/2015,4736
05/21/2015,3756
05/22/2015,4460
05/23/2015,4277
05/24/2015,1
05/25/2015,1
05/26/2015,4212
05/27/2015,4084
05/28/2015,4112
05/29/2015,4657
05/30/2015,5593
05/31/2015,1
06/01/2015,5775
06/02/2015,5451
06/03/2015,5810
06/04/2015,1
06/05/2015,5385
06/06/2015,4184
06/07/2015,1
06/08/2015,4072
06/09/2015,4103
06/10/2015,3592
06/11/2015,3628
06/12/2015,3696
06/13/2015,4257
06/14/2015,1
06/15/2015,5519
06/16/2015,4853
06/17/2015,4001
06/18/2015,4646
06/19/2015,4203
06/20/2015,4098
06/21/2015,1
06/22/2015,3847
06/23/2015,3763
06/24/2015,3347
06/25/2015,3534
06/26/2015,3318
06/27/2015,4020
06/28/2015,1
06/29/2015,5198
06/30/2015,5736
07/01/2015,5224
07/02/2015,5559
07/03/2015,4666
07/04/2015,4798
07/05/2015,1
07/06/2015,4360
07/07/2015,3651
07/08/2015,3798
07/09/2015,3898
07/10/2015,3809
07/11/2015,3531
07/12/2015,1
07/13/2015,5055
07/14/2015,5043
07/15/2015,4768
07/16/2015,4428
07/17/2015,4853
07/18/2015,4407
07/19/2015,1
07/20/2015,4396
07/21/2015,3559
07/22/2015,3465
07/23/2015,3770
07/24/2015,3707
07/25/2015,4365
07/26/2015,1
07/27/2015,6103
07/28/2015,5012
07/29/2015,4783
07/30/2015,5021
07/31/2015,5264
